"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 22:27:20 GMT 2024","Tue Jan 30 22:27:24 GMT 2024","4032","","Login","","Validar o login na aplicação","","Validar o login na aplicação","  Com essa funcionalidade iremos realizar o login de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso inserir dados cadastrais
  Para o login ser efetuado com sucesso"
"passed","Tue Jan 30 22:27:24 GMT 2024","Tue Jan 30 22:27:26 GMT 2024","2426","","Logout","","Validar o logout na aplicação","","Validar o logout na aplicação","  Com essa funcionalidade iremos realizar o logout de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso clicar no campo ""Sair""
  Para o logout ser efetuado com sucesso"
